Title,Description,Release,Director,Rating,Duration,Votes,Genre,Stars
Titans,A team of young superheroes combat evil and other perils.,I) ,Brenton Thwaites,7.7,45,94514.0,"Action, Adventure, Crime","Brenton Thwaites, Anna Diop, Ryan Potter, Teagan Croft"
The Pirates - Il tesoro reale,"In the Joseon era, a brave crew of pirates and bandits brave the rough waters and try to decipher the clues to find the lost royal gold before their rivals do.",2022,Jeong-hoon Kim,6.0,126,2068.0,"Action, Adventure, Comedy","Jennifer Sun Bell, Kang Ha-neul, Jason Her, Han Hyo-joo"
355,"When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",2022,Simon Kinberg,5.3,122,18120.0,"Action, Thriller","Jessica Chastain, Penélope Cruz, Bingbing Fan, Diane Kruger"
La casa di carta,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017,Úrsula Corberó,8.3,70,450603.0,"Action, Crime, Drama","Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso"
Legends of Tomorrow,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",2016,Caity Lotz,6.9,42,101783.0,"Action, Adventure, Drama","Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano"
Buffy l'ammazzavampiri,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.",1997,Sarah Michelle Gellar,8.3,44,141814.0,"Action, Drama, Fantasy","Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan, Anthony Head"
9-1-1: Lone Star,"A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.",2020,Rob Lowe,7.0,43,12585.0,"Action, Drama, Thriller","Rob Lowe, Ronen Rubinstein, Jim Parrack, Natacha Karam"
300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,2006,Zack Snyder,7.6,117,796288.0,"Action, Drama","Gerard Butler, Lena Headey, David Wenham, Dominic West"
Thor: Love and Thunder,The sequel to Thor: Ragnarok and the fourth movie in the Thor saga.,2022,Taika Waititi,,,,"Action, Adventure, Fantasy","Taika Waititi, Christian Bale, Karen Gillan, Natalie Portman"
La leggenda di Vox Machina,"In a desperate attempt to pay off a mounting bar tab, a band of misfits end up on a quest to save the realm of Exandria from dark, magical forces.",2022,Laura Bailey,8.5,30,16235.0,"Animation, Action, Adventure","Laura Bailey, Taliesin Jaffe, Ashley Johnson, Liam O'Brien"
The Northman,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.",2022,Robert Eggers,,,,"Action, Adventure, Drama","Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke"
